Fiche;Fiche nomination;Nom du coup de pouce;Date de signature de la charte par EDF BS;Date d'engagement minimale;Date d'engagement maximale;Date d'achèvement minimale;Date d'achèvement maximale;Conditions particulières
BAR-TH-137;Raccordement bât résidentiel collectif à un réseau de chaleur;CP V3 Chauffage;?;01/01/2026;;;;Oui 
BAR-TH-174/175;Rénovation d'ampleur;CP réno globale Coll-T;?;17/01/2026;;;;Oui
BAR-TH-177;Rénovation globale;CP réno globale Coll-T;?;17/01/2026;;;;Oui
BAR-TH-177;Rénovation globale;CP réno globale Coll-T;?;01/11/2024;31/12/2025;;31/12/2027;Oui
BAR-TH-174/175;Rénovation d'ampleur;CP réno globale Coll-T;?;01/01/2024;31/12/2025;;31/12/2026;Oui
BAR-TH-178;Système géothermique;CP Chauffage Coll-T;?;01/01/2026;31/12/2030;Non définie;31/12/2032;Oui
BAR-TH-179;Pompe à chaleur collective de type air/eau;CP Chauffage Coll-T;?;01/01/2026;31/12/2030;Non définie;31/12/2032;Oui
BAR-TH-180;Pompe à chaleur collective de type eau/eau ou eau glycolée/eau;CP Chauffage Coll-T;?;01/01/2026;31/12/2030;Non définie;31/12/2032;Oui
BAT-TH-162;Système géothermique;CP Chauffage Coll-T;?;01/01/2026;31/12/2030;Non définie;31/12/2032;Oui
BAT-TH-163;Pompe à chaleur collective de type air/eau;CP Chauffage Coll-T;?;01/01/2026;31/12/2030;Non définie;31/12/2032;Oui
BAT-TH-164;Pompe à chaleur collective de type eau/eau ou eau glycolée/eau;CP Chauffage Coll-T;?;01/01/2026;31/12/2030;Non définie;31/12/2032;Oui
BAR-TH-174;Réno d'ampleur maison;CP Réno d'ampleur;06/02/2024;20/02/2024;31/12/2025;Non définie;31/12/2026;Oui
BAR-TH-175;Réno d'ampleur appartement;CP Réno d'ampleur;06/02/2024;20/02/2024;31/12/2025;Non définie;31/12/2026;Oui
BAR-TH-173;Régulation pièce par pièce;CP BAR-TH-173;20/12/2023;01/02/2024;22/11/2024;Non définie;31/12/2025;Oui
BAR-TH-171;PAC A/E;CP V3 Chauffage;20/02/2019;01/01/2024;31/12/2030;Non définie;31/12/2031;Oui
BAR-TH-172;PAC E/E ou sol/E;CP V3 Chauffage;20/02/2019;01/01/2024;31/12/2030;Non définie;31/12/2031;Oui
BAR-TH-137;Raccordement bât résidentiel collectif à un réseau de chaleur;CP Chauffage Coll-T;23/09/2022;01/11/2022;31/12/2025;Non définie;31/12/2027;Oui
BAR-TH-150;PAC collective à absorption A/E ou E/E;CP Chauffage Coll-T;23/09/2022;01/11/2022;31/12/2025;Non définie;31/12/2027;Oui
BAR-TH-165;Chaudière biomasse collective;CP Chauffage Coll-T;23/09/2022;01/11/2022;31/12/2025;Non définie;31/12/2027;Oui
BAR-TH-166;PAC collective A/E ou E/E;CP Chauffage Coll-T;23/09/2022;01/11/2022;31/12/2025;Non définie;31/12/2027;Oui
BAT-TH-113;PAC A/E ou E/E;CP Chauffage Coll-T;23/09/2022;01/11/2022;31/12/2025;Non définie;31/12/2027;Oui
BAT-TH-127;Raccordement bât tertiaire à un réseau de chaleur;CP Chauffage Coll-T;23/09/2022;01/11/2022;31/12/2025;Non définie;31/12/2027;Oui
BAT-TH-140;PAC à absorption A/E ou E/E;CP Chauffage Coll-T;23/09/2022;01/11/2022;31/12/2025;Non définie;31/12/2027;Oui
BAT-TH-141;PAC à moteur gaz A/E;CP Chauffage Coll-T;23/09/2022;01/11/2022;31/12/2025;Non définie;31/12/2027;Oui
BAT-TH-157;Chaudière collective biomasse;CP Chauffage Coll-T;23/09/2022;01/11/2022;31/12/2025;Non définie;31/12/2027;Oui
BAR-TH-137;Raccordement maison à un réseau de chaleur;CP V3 Chauffage;20/02/2019;01/09/2022;31/12/2025;Non définie;31/12/2026;Oui
BAR-TH-164;Réno globale maison;CP Rénovation globale maison V2;05/03/2021;01/09/2021;31/12/2025;Non définie;31/12/2026;Oui
BAR-EN-101;Isolation comble;CP Isolation V5;21/06/2021;01/07/2021;30/06/2022;01/01/2022;30/09/2022;Non
BAR-EN-103;Isolation plancher;CP Isolation V5;21/06/2021;01/07/2021;30/06/2022;01/01/2022;30/09/2022;Non
BAR-TH-145;Réno globale collectif;CP Rénovation globale collectif V2;05/03/2021;01/04/2021;31/12/2025;Non définie;31/12/2026;Oui
BAR-TH-145;Réno globale collectif;CP Rénovation globale collectif V1;05/03/2021;05/03/2021;31/03/2021;Non définie;31/12/2026;Oui
BAR-EN-101;Isolation comble;CP Isolation V4;23/10/2020;26/10/2020;30/06/2021;Non définie;31/12/2021;Non
BAR-EN-101;Isolation comble;CP Isolation V4 (mais calcul CP V5);23/10/2020;26/10/2020;30/06/2021;01/01/2022;30/09/2022;Non
BAR-EN-103;Isolation plancher;CP Isolation V4;23/10/2020;26/10/2020;30/06/2021;Non définie;31/12/2021;Non
BAR-EN-103;Isolation plancher;CP Isolation V4 (mais calcul CP V5);23/10/2020;26/10/2020;30/06/2021;01/01/2022;30/09/2022;Non
BAR-TH-158;Emetteur électrique à fonction avancée;CP V3 Chauffage Ext;27/09/2019;27/09/2019;30/06/2021;Non définie;31/12/2021;Oui
BAR-TH-158;Emetteur électrique à fonction avancée;CP V3 Chauffage Ext (dérogation);27/09/2019;27/09/2019;08/02/2021;Non définie;08/02/2022;Oui
BAR-TH-163;Conduit évacuation des produits de combustion;CP V3 Chauffage Ext;27/09/2019;27/09/2019;31/12/2024;Non définie;31/12/2025;Non
BAR-EN-101;Isolation comble;CP Isolation V3;20/02/2019;20/02/2019;31/08/2020;Non définie;Non définie;Non
BAR-EN-103;Isolation plancher;CP Isolation V3;20/02/2019;20/02/2019;31/08/2020;Non définie;Non définie;Non
BAR-TH-104;PAC A/E ou E/E;CP V3 Chauffage;20/02/2019;20/02/2019;31/12/2023;Non définie;31/12/2026;Oui
BAR-TH-106 ;Chaudière individuelle HPE;CP V3 Chauffage;20/02/2019;20/02/2019;30/06/2021;Non définie;31/12/2021;Oui
BAR-TH-106 ;Chaudière individuelle HPE;CP V3 Chauffage (dérogation);20/02/2019;20/02/2019;08/02/2021;Non définie;08/02/2022;Oui
BAR-TH-112;Appareil indépendant de chauffage au bois;CP V3 Chauffage;20/02/2019;20/02/2019;31/12/2025;Non définie;31/12/2026;Oui
BAR-TH-113;Chaudière biomasse individuelle;CP V3 Chauffage;20/02/2019;20/02/2019;31/12/2025;Non définie;31/12/2026;Oui
BAR-TH-137;Raccordement bât résidentiel collectif à un réseau de chaleur;CP V3 Chauffage;20/02/2019;20/02/2019;31/08/2022;Non définie;31/12/2026;Oui
BAR-TH-143;Système solaire combiné;CP V3 Chauffage;20/02/2019;20/02/2019;31/12/2025;Non définie;31/12/2026;Oui
BAR-TH-159;PAC hybride individuelle;CP V3 Chauffage;20/02/2019;20/02/2019;31/12/2025;Non définie;31/12/2026;Oui
BAR-TH-106 ;Chaudière individuelle HPE;CP V1;04/05/2017;04/05/2017;31/03/2018;Non définie;Non définie;Non
BAR-TH-113;Chaudière biomasse individuelle;CP V1;04/05/2017;04/05/2017;31/03/2018;Non définie;Non définie;Non
BAR-TH-118;Système de régulation par programmation d’intermittence;CP V1;04/05/2017;04/05/2017;31/03/2018;Non définie;Non définie;Non
BAR-TH-158;Emetteur électrique à fonction avancée;CP V1 Ext;04/05/2017;04/05/2017;31/03/2018;Non définie;Non définie;Non
BAR-TH-164;Réno globale maison;CP Rénovation globale maison V1;Non signé;;;;;
